App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
www.dailymail.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",58685440997,UK General Market
www.theguardian.com,,Digital Video,white,National News,"Streaming, Digital Video",7241021395,UK General Market
amp.theguardian.com,,Digital Video,white,National News,"Streaming, Digital Video",5279644971,UK General Market
metro.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",4171722129,UK General Market
www.express.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",3837065692,UK General Market
www.ladbible.com,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",2872626344,UK General Market
www.mirror.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",2558970220,UK General Market
www.goal.com,,Digital Video,white,Sports & Football,"Streaming, Digital Video",2457309699,UK General Market
www.independent.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",2406899894,UK General Market
www.thesun.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",2156598921,UK General Market
www.unilad.com,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",1704244105,UK General Market
www.birminghammail.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",1545889396,UK General Market
www.manchestereveningnews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",1491571199,UK General Market
faroutmagazine.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",1487490965,UK General Market
www.liverpoolecho.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",1347747876,UK General Market
www.getsurrey.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",1322210992,UK General Market
www.dailyrecord.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",1061484820,UK General Market
www.radiotimes.com,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",978411907,UK General Market
www.walesonline.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",915234841,UK General Market
www.givemesport.com,,Digital Video,white,Sports & Football,"Streaming, Digital Video",906518016,UK General Market
www.telegraph.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",886881297,UK General Market
www.lse.co.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",763031615,UK General Market
www.pets4homes.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",652253101,UK General Market
www.radio-uk.co.uk,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",617758900,UK General Market
www.sportbible.com,,Digital Video,white,Sports & Football,"Streaming, Digital Video",611949308,UK General Market
www.standard.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",556310495,UK General Market
www.gloucestershirelive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",535309277,UK General Market
www.themusicman.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",449408266,UK General Market
www.ruck.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",427204392,UK General Market
www.chroniclelive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",394973216,UK General Market
www.90min.com,,Digital Video,white,Sports & Football,"Streaming, Digital Video",375421605,UK General Market
