App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
 Samsung TV Plus,,Mobile App,white,Video/Streaming,"Streaming, OTT",774350507,General Market
""" Dark, Horror Color by Number""",,Mobile App,white,Video/Streaming,"Streaming, OTT",267166934,General Market
"""9GAG: Funny GIF, Meme & Video""",,Mobile App,white,Video/Streaming,"Streaming, OTT",534341026,General Market
"""AMC: Stream TV Shows, Full Epi""",,Mobile App,white,Video/Streaming,"Streaming, OTT",48148660,General Market
"""AMC: Stream TV Shows, Full Episodes & Watch Movies""",,Mobile App,white,Video/Streaming,"Streaming, OTT",36664639,General Market
"""Bead 16 - Sholo Guti, Bead 12""",,Mobile App,white,Video/Streaming,"Streaming, OTT",17098153,General Market
"""CallApp: Caller ID, Blocker & Phone Call Recorder""",,Mobile App,white,Video/Streaming,"Streaming, OTT",40929554,General Market
"""CallApp: Caller ID, Call Blocker & Call Recorder""",,Mobile App,white,Video/Streaming,"Streaming, OTT",10550368,General Market
"""FUTBIN - FC 25 Draft, Builder""",,Mobile App,white,Video/Streaming,"Streaming, OTT",1428095220,General Market
"""Gallery - photo gallery, album""",,Mobile App,white,Video/Streaming,"Streaming, OTT",11135209,General Market
"""Handcent Next SMS (Best texting with MMS,stickers)""",,Mobile App,white,Video/Streaming,"Streaming, OTT",10845896,General Market
"""HappyKids - Popular Shows, Movies and Educational Videos for Chi""",,Mobile App,white,Video/Streaming,"Streaming, OTT",507339180,General Market
"""I, The One - Fun Fighting Game""",,Mobile App,white,Video/Streaming,"Streaming, OTT",19152570,General Market
"""I, The One""",,Mobile App,white,Video/Streaming,"Streaming, OTT",20348352,General Market
"""Ice Cream Inc. ASMR, DIY Games""",,Mobile App,white,Video/Streaming,"Home, DIY, Streaming, OTT",360176855,General Market
"""JioCinema-Cricket, Shows &More""",,Mobile App,white,Video/Streaming,"Streaming, OTT",3031590118,General Market
"""JioCinema-Shows, Movies & More""",,Mobile App,white,Video/Streaming,"Streaming, OTT",9592869,General Market
"""KSL Classifieds, Cars, Homes""",,Mobile App,white,Video/Streaming,"Home, DIY, Auto, Streaming, OTT",12729902,General Market
"""Kaave: Tarot, Angel, Horoscope""",,Mobile App,white,Video/Streaming,"Streaming, OTT",44152447,General Market
"""LOVOO - Chat, date & find love""",,Mobile App,white,Video/Streaming,"Streaming, OTT",19441565,General Market
"""Marmiton, recettes de cuisine""",,Mobile App,white,Video/Streaming,"Streaming, OTT",12034396,General Market
"""MeetMe - Go Live, Chat & Meet""",,Mobile App,white,Video/Streaming,"Streaming, OTT",87916436,General Market
"""MeetMe - Meet, Chat & Go Live""",,Mobile App,white,Video/Streaming,"Streaming, OTT",184030833,General Market
"""Miles - Travel, Shop, Get Cash""",,Mobile App,white,Video/Streaming,"Travel, Streaming, OTT",28435397,General Market
"""Moto Rider, Bike Racing Games""",,Mobile App,white,Video/Streaming,"Streaming, OTT",21265412,General Market
"""Music Audio Editor, MP3 Cutter""",,Mobile App,white,Video/Streaming,"Entertainment, Streaming, OTT",11677802,General Market
"""My clone army: me, myself """,,Mobile App,white,Video/Streaming,"Streaming, OTT",26114963,General Market
"""NovelToon: Read Books, Stories""",,Mobile App,white,Video/Streaming,"Streaming, OTT",1960579836,General Market
"""NovelToon: Reading Novel, Book""",,Mobile App,white,Video/Streaming,"Streaming, OTT",702273635,General Market
"""OLX.kz: вакансии, недвижимость""",,Mobile App,white,Video/Streaming,"Streaming, OTT",19517015,General Market
"""OLX: сервіс оголошень, покупки""",,Mobile App,white,Video/Streaming,"Streaming, OTT",245648088,General Market
"""Office App - DOCX, PDF, XLSX""",,Mobile App,white,Video/Streaming,"Streaming, OTT",56462406,General Market
"""Philo: Shows, movies, and live TV""",,Mobile App,white,Video/Streaming,"Streaming, OTT",55502834,General Market
"""PicsArt Photo Editor: Pic, Video & Collage Maker""",,Mobile App,white,Video/Streaming,"Streaming, OTT",48172957,General Market
"""Plex: Movies, TV, Music & More""",,Mobile App,white,Video/Streaming,"Entertainment, Streaming, OTT",24885288,General Market
"""Plex: Stream Free Movies, Shows, Live TV & mo""",,Mobile App,white,Video/Streaming,"Streaming, OTT",159913048,General Market
"""Plex: Stream Movies, Shows, Live TV, Music, a""",,Mobile App,white,Video/Streaming,"Entertainment, Streaming, OTT",306907681,General Market
"""Polaris Office: Edit&View, PDF""",,Mobile App,white,Video/Streaming,"Streaming, OTT",57288697,General Market
"""Prank Simulator: haircut, horn""",,Mobile App,white,Video/Streaming,"Streaming, OTT",4208188586,General Market
"""Realtor.com: Buy, Sell & Rent""",,Mobile App,white,Video/Streaming,"Streaming, OTT",387046552,General Market
"""SKOUT - Meet, Chat, Go Live""",,Mobile App,white,Video/Streaming,"Streaming, OTT",922729500,General Market
"""SLING: Live TV, Shows & Movies""",,Mobile App,white,Video/Streaming,"Streaming, OTT",65489436,General Market
"""ShareChat - Make Friends, WhatsApp Status & Videos""",,Mobile App,white,Video/Streaming,"Streaming, OTT",9725479,General Market
"""Skull Color, Color by Number""",,Mobile App,white,Video/Streaming,"Streaming, OTT",284054632,General Market
