App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
YouTube,,Streaming,white,Streaming / Digital Video,BARB Dec 2025 cross-screen monthly reach; surpassed BBC for first time,,UK reach: 51.9
BBC,,TV Network,white,Broadcast (PSB),BARB Dec 2025; #1 share of TV-set viewing (19.2%) and daily minutes,8299657252,UK reach: 50.9
ITV / ITVX,,TV Network,white,Broadcast (PSB),BARB Dec 2025; 12.1% TV-set share; ITVX under enhanced Ofcom VoD regulation,,UK reach: 45
Netflix,,Streaming,white,Streaming (SVOD/AVOD),Cross-screen reach exceeded ITV in Dec 2025; 17.6M UK homes / 59.5% (BARB Q3 2025),,UK reach: >45 (est.)
Channel 4,,TV Network,white,Broadcast (PSB),BARB Dec 2025; 5.4% TV-set share,,UK reach: 42.2
Channel 5 / Paramount,,TV Network,white,Broadcast / Cable,BARB Dec 2025 combined reach,,UK reach: 37.3
Sky,,TV Network,white,Cable / Satellite,BARB Dec 2025; 6.8% TV-set share,885566200,UK reach: 37.2
TikTok,,Streaming,white,Streaming / Digital Video,BARB Dec 2025 cross-screen reach,,UK reach: 15.4
Amazon Prime Video,,Streaming,white,Streaming (SVOD/AVOD),46.0% of UK homes (BARB Q3 2025),,UK reach: 13.6M homes
Disney+,,Streaming,white,Streaming (SVOD/AVOD),25.4% of UK homes (BARB Q3 2025); ad-tier reach +65% YoY,,UK reach: 7.5M homes
Sky News,,TV Network,white,Broadcast/Cable News,Reached 4.1M across 2025 vs 2.1M GB News (Press Gazette),,UK reach: 4.1M (2025)
GB News,,TV Network,white,Broadcast/Cable News,BARB Jul 2025 monthly reach; #1 commercial news channel by avg viewers in 2025,13167661762,UK reach: 3.8
STV / STV Player,,TV Network,white,Broadcast (Scotland),Scottish PSB; STV Player under enhanced Ofcom VoD regulation,,UK
NOW (Sky),,Streaming,white,Streaming,Sky's contract-free streaming service,,UK
Discovery+ / WBD,,Streaming,white,Streaming,BARB-measured for total campaign planning since 2024,,UK
Paramount+,,Streaming,white,Streaming (SVOD),Reported jointly with Channel 5 by BARB,,UK
BritBox,,Streaming,white,Streaming (SVOD),BBC/ITV-owned; UK service folded into ITVX,,UK
ITV2,,TV Network,white,ITV,"Top-10 UK channel by viewing volume, 2025 (BARB)",,UK
ITV3,,TV Network,white,ITV,"Top-10 UK channel by viewing volume, 2025 (BARB)",,UK
ITV4,,TV Network,white,ITV,Sport/male-skewing entertainment,,UK
ITVBe,,TV Network,white,ITV,"Reality/lifestyle, female-skewing",,UK
E4,,TV Network,white,Channel 4,"Top-10 UK channel by viewing volume, 2025 (BARB); 16-34 skew",,UK
More4,,TV Network,white,Channel 4,Lifestyle/documentary,,UK
Film4,,TV Network,white,Channel 4,Film,,UK
5USA / 5Star / 5Action / 5Select,,TV Network,white,Paramount,Channel 5 portfolio,,UK
U&Dave,,TV Network,white,U (UKTV / BBC Studios),Comedy/entertainment; strong male 16-44 profile,,UK
U&Drama,,TV Network,white,U (UKTV / BBC Studios),"Top-10 UK channel by viewing volume, 2025 (BARB)",,UK
U&W / U&Yesterday / U&Gold / U&Alibi / U&Eden,,TV Network,white,U (UKTV / BBC Studios),U portfolio,,UK
Quest / Really / DMAX / Food Network / HGTV,,TV Network,white,Warner Bros. Discovery,WBD free-to-air portfolio,,UK
Comedy Central / MTV / Nickelodeon,,TV Network,white,Paramount,Pay portfolio,,UK
Sky Max / Sky Atlantic / Sky Witness / Sky Crime,,TV Network,white,Sky,Sky entertainment portfolio,,UK
Sky Sports,,TV Network,white,Sky,Sky Sports Main Event = top-10 by viewing volume 2025; in DCG inventory (skysports.com),1820444182,UK
TNT Sports,,TV Network,white,Warner Bros. Discovery,Premier League/UCL rights; successor to BT Sport,,UK
Premier Sports,,TV Network,white,Premier Media,Scottish/Irish sports rights,,UK
DAZN,,TV Network,white,DAZN Group,Sports streaming; boxing/NFL,,UK
S4C,,TV Network,white,S4C,Welsh-language PSB,,UK
BBC Alba,,TV Network,white,BBC/MG Alba,Scottish Gaelic,,UK
Islam Channel,,TV Network,white,Islamic / English-language,"BARB monthly reach (000s), Mar 2025",,UK reach: 636
Sony TV (SET Asia),,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 576
ARY Digital,,TV Network,white,Pakistani GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 384
Hum TV,,TV Network,white,Pakistani GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 358
Sony SAB,,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 340
Zee TV,,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 310
Utsav Plus (Star),,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 307
Colors,,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 288
Utsav Bharat (Star),,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 278
Geo TV,,TV Network,white,Pakistani GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 267
Hum Masala,,TV Network,white,Pakistani lifestyle,"BARB monthly reach (000s), Mar 2025",,UK reach: 238
Zee Punjabi,,TV Network,white,Punjabi,"BARB monthly reach (000s), Mar 2025",,UK reach: 235
PTC Punjabi,,TV Network,white,Punjabi,"BARB monthly reach (000s), Mar 2025",,UK reach: 223
Colors Rishtey,,TV Network,white,South Asian GEC,"BARB monthly reach (000s), Mar 2025",,UK reach: 166
NTV,,TV Network,white,Bangladeshi,"BARB monthly reach (000s), Mar 2025",,UK reach: 140
ATN Bangla,,TV Network,white,Bangladeshi,"BARB monthly reach (000s), Mar 2025",,UK reach: 99
Colors Gujarati,,TV Network,white,Gujarati,"BARB monthly reach (000s), Mar 2025",,UK reach: 69
Zee Cinema,,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 385
Utsav Gold (Star),,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 377
B4U Movies,,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 326
Sony MAX 2,,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 318
Colors Cineplex,,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 312
Sony MAX,,TV Network,white,South Asian movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 294
Pitaara,,TV Network,white,Punjabi movies,"BARB monthly reach (000s), Mar 2025",,UK reach: 227
B4U Music,,TV Network,white,South Asian music,"BARB monthly reach (000s), Mar 2025",,UK reach: 291
Music India,,TV Network,white,South Asian music,"BARB monthly reach (000s), Mar 2025",,UK reach: 272
Aaj Tak,,TV Network,white,Indian news,"BARB monthly reach (000s), Mar 2025",,UK reach: 254
NDTV 24x7,,TV Network,white,Indian news,"BARB monthly reach (000s), Mar 2025",,UK reach: 220
Geo News,,TV Network,white,Pakistani news,"BARB monthly reach (000s), Mar 2025",,UK reach: 185
New Vision TV,,TV Network,white,South Asian news,"BARB monthly reach (000s), Mar 2025",,UK reach: 163
India Today,,TV Network,white,Indian news,"BARB monthly reach (000s), Mar 2025",,UK reach: 159
Vox Africa,,TV Network,white,Pan-African (Freeview 271),,,UK
TRACE (Urban/Ngoma),,TV Network,white,African/Caribbean music,,,UK
The Africa Channel,,TV Network,white,African entertainment,,,UK
BET UK,,TV Network,white,Black entertainment — linear closed 2021; content on Pluto TV / Paramount+,,,UK
