App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
"""13abc WTVG Toledo, OH""",,Mobile App,white,Broadcast/Cable,"Streaming, OTT",45891283,General Market
"""AOL Mail, News, Weather, Video""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",10230126,General Market
"""BuzzFeed - Quiz, Trivia & News""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",28058395,General Market
"""Fox News: US, World, & Election Headlines""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",23158883,General Market
"""Fox News: US, World, & Election HeadlinesFox News: US, World, &…""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",65173530,General Market
"""Huffington post - news, politics & entertainment""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Entertainment, Streaming, OTT",481741538,General Market
"""Local Now - Free News, Weather, Movies""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",476785539,General Market
"""NBC News: Breaking News, US News & Live Video - Android""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",57181660,General Market
"""NBC News: Breaking News, US News & Live Video""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",16184986,General Market
"""Portland, Oregon News from KGW""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",15546594,General Market
"""Sling TV - Live Sports, News, Shows   Freestream""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",275483584,General Market
"""Sling TV - Live Sports, News, Shows + Freestream""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",757137977,General Market
"""Sling TV: Live Sports, News, Shows   Freestream""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",319433690,General Market
"""Sling TV: Live Sports, News, Shows + Freestream""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",329307179,General Market
"""Sling: LIve TV, Sports & News""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",61364188,General Market
"""TuneIn Radio: News, Music & FM""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Entertainment, Streaming, OTT",156492355,General Market
"""TuneIn Radio: News, Sports & AM FM Music Stations""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Entertainment, Streaming, OTT",141469446,General Market
"""Very Local: Free 24/7 Local News, Weather & M""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",162413519,General Market
"""WYBORCZA: fakty, newsy, opinie""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",13229613,General Market
"""fuboTV: Watch Live Sports, TV Shows, Movies & News""",,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",130446848,General Market
1011 News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",10454848,General Market
13 Action News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",12384105,General Market
13 ON YOUR SIDE News - WZZM,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",13126771,General Market
13News Now - WVEC,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",12228664,General Market
13WMAZ Central Georgia News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",22540127,General Market
13WMAZ: Central Georgia News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",11781791,General Market
13abc News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",57644098,General Market
14 NEWS WFIE Tri-State Leader,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",52399752,General Market
14 News WFIE Tri-State Leader,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",14859142,General Market
21 Alive News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",12234411,General Market
21Alive News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",12576245,General Market
23 News To Go,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",11924397,General Market
365Scores: Live Scores & News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",68705988,General Market
7 News HD - Boston News Source,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",67816232,General Market
9&10News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",36502703,General Market
ABC 7,,Mobile App,white,Broadcast/Cable,"Streaming, OTT",25756344,General Market
ABC Action News Tampa Bay,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",11708084,General Market
ABC Action News Tampa Bay WFTS,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",50347198,General Market
ABC Action News Tampa Bay WFTSABC Action News Tampa…,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",28665718,General Market
ABC12 News - WJRT,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",54500405,General Market
ABC12+News+-+WJRT,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",13114827,General Market
ABC7 Sarasota,,Mobile App,white,Broadcast/Cable,"Streaming, OTT",71150258,General Market
ABC7 Sarasota Tampa,,Mobile App,white,Broadcast/Cable,"Streaming, OTT",10430975,General Market
AS - Sports news,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Sports Fans, Streaming, OTT",12114680,General Market
Aaj Tak Hindi News Live TV App,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",19928235,General Market
Action News 5,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",93618482,General Market
Action News Now,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",34334112,General Market
Alaska's News Source,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",25493483,General Market
America's Voice News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",1820798241,General Market
Arkansas News from THV11,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",11463981,General Market
Atlanta News First,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",48167842,General Market
Atlanta News First +,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",50410347,General Market
BBC: World News & Stories,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",364153579,General Market
BET,,CTV,white,Broadcast/Cable,"African American, Black Culture, Multicultural, Streaming, OTT",,African American
Boston 25 News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",63188874,General Market
Boston+25+News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",61440946,General Market
Brown Sugar,,CTV,white,Broadcast/Cable,"African American, Black Culture, Multicultural, Streaming, OTT",,African American
Buffalo News from WGRZ,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",12117658,General Market
CBC News,,Mobile App,white,Broadcast/Cable,"News Consumers, Current Events, Streaming, OTT",47388510,General Market
CBS,,Mobile App,white,Broadcast/Cable,"Streaming, OTT",87631658,General Market
